setting,regime,detector,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auroc_mean,auroc_std,avg_precision_mean,avg_precision_std,real_det_mean,real_det_std,synth_det_mean,synth_det_std,normal_fpr_mean,normal_fpr_std,fit_time_sec_mean,fit_time_sec_std,n_seeds
balanced_detection,synthetic_only,HGB,0.8461538461538461,0.0,0.9589743589743589,0.0,0.757085020242915,0.0,0.8838695930108672,0.0,0.9243383326275725,0.0,0.12121212121212122,0.0,0.988950276243094,0.0,0.032388663967611336,0.0,2.2070634365081787,0.3468004465265577,10
balanced_detection,synthetic_only,LR,0.8137931034482758,0.0,0.9414893617021278,0.0,0.7165991902834008,0.0,0.8325984690783328,0.0,0.8894087775601311,0.0,0.030303030303030304,0.0,0.9668508287292819,0.0,0.044534412955465584,0.0,0.05769889354705811,0.0012897441521473839,10
balanced_detection,synthetic_only,MLP,0.801008670731273,0.013895982163842668,0.9253371592598152,0.03415186482662303,0.7064777327935222,0.003934515448613549,0.8099411562228523,0.016571848933373486,0.8777790615347613,0.006839427634927237,0.015151515151515152,0.0,0.9585635359116023,0.0053692006398207166,0.05789473684210526,0.028182196283733897,0.11117849349975586,0.01496035512492994,10
balanced_detection,synthetic_only,RF,0.8444201032933452,0.003903985979199917,0.9600950105375942,0.012699430511534975,0.7538461538461538,0.011577657538206337,0.9247774918454654,0.002661662819116677,0.9431354008617785,0.0013202604696133356,0.16515151515151513,0.037421481924934746,0.9685082872928177,0.002668761831710737,0.031578947368421054,0.010930341015555511,0.3210459232330322,0.028278219683117035,10
balanced_detection,synthetic_only,XGB,0.8333745799125497,0.007672315892064386,0.9619241623323866,0.015085708163413576,0.7356275303643725,0.01965405315492677,0.8741349636938812,0.0029931210156391493,0.9187220365726103,0.0015957331417053493,0.09090909090909091,0.051007600698798373,0.9707182320441989,0.009040838091074487,0.029554655870445347,0.012951247626461621,0.5719526290893555,0.037083118955041156,10
balanced_detection,synthetic_only,kNN,0.7870370370370371,0.0,0.918918918918919,0.0,0.6882591093117408,0.0,0.8417528561359798,0.0,0.8592035266924019,0.0,0.015151515151515152,0.0,0.9337016574585635,0.0,0.06072874493927125,0.0,0.061243724822998044,0.0016648770717815214,10
controlled_500,all_origins,HGB,0.9523477631905714,0.021962658505963916,0.951603328744085,0.03782403164046181,0.954,0.021186998109427622,0.98676,0.010109533454451109,0.989433667129183,0.008122192653132526,1.0,0.0,0.908,0.042373996218855174,0.05,0.04136557881996953,0.8832276582717895,0.10142401391517655,10
controlled_500,all_origins,LR,0.9030326637797957,0.038611785116319255,0.8989150434283586,0.052887299489181215,0.908,0.03155242550986461,0.95708,0.028787064996472145,0.9621692239556981,0.024602814001788424,0.9800000000000001,0.038873012632302015,0.836,0.05796550698475777,0.10400000000000001,0.05641118880348314,0.04994115829467773,0.0017375599100115649,10
controlled_500,all_origins,MLP,0.8682775993335925,0.04808081847318781,0.8462666071986769,0.06166362971460374,0.8960000000000001,0.0665331997326648,0.9486000000000001,0.025773888595501747,0.9535812989942098,0.023225430904867894,0.9400000000000001,0.08692269873603532,0.852,0.07786027371016768,0.16799999999999998,0.08283853102404835,0.06959640979766846,0.010816972361776436,10
controlled_500,all_origins,RF,0.939461050375237,0.024235415994738083,0.9322251343972379,0.03178354080172912,0.9480000000000001,0.03675746333890725,0.9859,0.011746299653744432,0.9885522837547512,0.008743856097835954,1.0,0.0,0.8960000000000001,0.07351492667781452,0.06999999999999999,0.03431876713662334,0.1933384656906128,0.023359700831307836,10
controlled_500,all_origins,XGB,0.9443126720558286,0.013746670619297956,0.9261583234692479,0.028552380281445664,0.9640000000000001,0.01837873166945366,0.9845200000000001,0.00927419358578779,0.9885181712488705,0.005724972096136916,1.0,0.0,0.9279999999999999,0.03675746333890724,0.078,0.0332665998663324,0.3667311668395996,0.04716597708615699,10
controlled_500,all_origins,kNN,0.843387516954666,0.05439734228945784,0.8563086181252121,0.06706959156656665,0.8400000000000001,0.10154364141151877,0.925,0.03807267903482614,0.915097032682277,0.04371014658449158,0.9559999999999998,0.05146735750831675,0.724,0.18709474723905112,0.148,0.08121302577515233,0.056080412864685056,0.007565588511125339,10
controlled_500,real_only,HGB,0.6640350877192982,0.004237244662628467,0.9884615384615385,0.018578688136140303,0.5,0.0,0.747,0.004830458915396474,0.7442307692307693,0.00928934406807012,1.0,0.0,0.0,0.0,0.006,0.009660917830792959,0.27628724575042723,0.03990482888175444,10
controlled_500,real_only,LR,0.6934762650296715,0.036826242825078376,0.9112283090269472,0.08760893315951264,0.5660000000000001,0.05966573556070518,0.7309599999999999,0.05184599416648415,0.8230975749144515,0.029332051050049577,0.9800000000000001,0.028284271247461905,0.152,0.11895844279037579,0.064,0.06850790708621403,0.05205857753753662,0.0024129885728673655,10
controlled_500,real_only,MLP,0.6412539237284735,0.08357366093276036,0.8263863955503492,0.07274636305630489,0.542,0.12699956255392728,0.68492,0.06085437626918145,0.7688559173976823,0.03814842417489223,0.8240000000000001,0.15342026521218693,0.26,0.1635712552851373,0.128,0.08854377448471462,0.06615638732910156,0.0018084447213430692,10
controlled_500,real_only,RF,0.6678671679939912,0.02108231314813124,0.9721056721056721,0.033830981802066236,0.51,0.032998316455372226,0.8898400000000001,0.023667474164628003,0.9019589695900688,0.018896480900444452,0.9960000000000001,0.012649110640673542,0.024,0.06310485101972925,0.016,0.02065591117977289,0.1803668260574341,0.008936130335290575,10
controlled_500,real_only,XGB,0.6614709851551956,0.008288890763334328,0.9777472527472527,0.03490560931724521,0.5,0.0,0.74238,0.011204146057995175,0.7510975609756098,0.0034707925538433465,1.0,0.0,0.0,0.0,0.012,0.019321835661585917,0.18742883205413818,0.007234739879118423,10
controlled_500,real_only,kNN,0.6590995849182877,0.06351161042241596,0.8963336331773556,0.07840503121573733,0.532,0.09390302326218139,0.8341799999999999,0.04556230898451044,0.8262227971514966,0.047211302510826475,0.8640000000000001,0.0847479924377104,0.2,0.13984117975602023,0.072,0.06941021378570864,0.052013707160949704,0.003984959180348257,10
controlled_500,synthetic_only,HGB,0.6499081452962804,0.03466447364627414,0.943030166291036,0.04018040120504039,0.49800000000000005,0.045655716448703816,0.75028,0.05601017367903397,0.8212410139334736,0.03642543755974778,0.076,0.08315981935740092,0.9199999999999999,0.037712361663282526,0.032,0.026997942308422118,0.6372280597686768,0.062044130465565166,10
controlled_500,synthetic_only,LR,0.5931912512512375,0.0446282931650297,0.8897594815029025,0.07573277655435848,0.44800000000000006,0.048258562855610275,0.6776,0.09250105104507969,0.7712689041466557,0.0543342987643714,0.028000000000000004,0.04237399621885521,0.868,0.0706792441637257,0.06000000000000001,0.04988876515698589,0.05106832981109619,0.0017290384152418288,10
controlled_500,synthetic_only,MLP,0.5487728376870613,0.07465283473599969,0.776686744492268,0.10720121189854787,0.43600000000000005,0.09834180754445747,0.7084400000000001,0.060375550607105075,0.7571066399527916,0.037865656704256095,0.13999999999999999,0.1751190071541826,0.732,0.09986657765906133,0.138,0.07146094504459528,0.0644005537033081,0.0029227557403147426,10
controlled_500,synthetic_only,RF,0.6603114298823594,0.03945897842213788,0.8660982692888741,0.08220972076231799,0.5439999999999999,0.08044321668799123,0.79988,0.03737083830415844,0.8442449322798001,0.024369638660023323,0.164,0.13259797216481942,0.924,0.04402019738458448,0.096,0.06653319973266479,0.18464202880859376,0.007698962678996747,10
controlled_500,synthetic_only,XGB,0.6401535015392702,0.06448672412699166,0.9211399154842352,0.06296582941251282,0.496,0.0798888116210413,0.7327600000000001,0.0628113082529288,0.8113204389976127,0.037368919099569124,0.096,0.10362324921453574,0.8960000000000001,0.06586180818788516,0.046,0.03893013685508382,0.30122268199920654,0.02666637495320016,10
controlled_500,synthetic_only,kNN,0.5615547440853067,0.13512868377704038,0.8530528309086156,0.09191379500484205,0.44400000000000006,0.16324487400494048,0.7280200000000001,0.050721851525966796,0.7332868985696719,0.042336562944199026,0.176,0.16780941570722427,0.712,0.1975854245636555,0.092,0.07130529043797833,0.050979018211364746,0.0016547029146225212,10
fullscale,synthetic_only,HGB,0.8141381602951439,0.006072979916235214,0.9841367940338435,0.01286983149331899,0.694331983805668,0.008588341471901403,0.8849338165576714,0.009864817477636513,0.7641135630960525,0.00646375114327495,0.0014492753623188406,0.004583011101693304,0.9629213483146067,0.011298204591010018,0.0004550625711035267,0.00037376213902509,1.6970030546188355,0.4574891713044017,10
fullscale,synthetic_only,LR,0.7912150189078658,0.007740909002370291,0.9651812499533282,0.018424766759430236,0.6708502024291498,0.01739268406893241,0.8424999226867378,0.003098866596238074,0.7364479039403217,0.0018000139039029486,0.0,0.0,0.9308988764044944,0.024134791938350077,0.0009913863156183977,0.0005653348652990764,0.16685061454772948,0.018472853469354535,10
fullscale,synthetic_only,MLP,0.8001673990648216,0.010225760909761327,0.9643101262996028,0.0244541153210594,0.6842105263157895,0.01538698279486015,0.8657970076148629,0.008319557390736735,0.7445509646536419,0.0066233776281610065,0.0,0.0,0.949438202247191,0.02135159972095767,0.001040143019665204,0.0007435878405882654,0.749529504776001,0.11654344030687334,10
fullscale,synthetic_only,RF,0.7971296755959455,0.003669109948348524,0.96614613943181,0.009119751852814786,0.6785425101214575,0.007915183966863769,0.9026546742282328,0.010010952371866494,0.764179811167659,0.004822218861863292,0.0,0.0,0.9415730337078652,0.01098342943716498,0.0009588818462538598,0.00028097518781927385,9.9888747215271,0.9218505806509334,10
fullscale,synthetic_only,XGB,0.8161330423870707,0.0028928119259438354,0.9858411962317515,0.010971084358562347,0.6963562753036437,0.005725560981267594,0.8259335000667856,0.0073305067536205875,0.750713814287909,0.0028353082910411156,0.0014492753623188406,0.004583011101693304,0.9657303370786516,0.006725949436729568,0.0004063058670567203,0.0003182008809922187,1.5000680208206176,0.10326723546025701,10
fullscale,synthetic_only,kNN,0.768114193975031,0.004966238410166047,0.9704094728794811,0.03189540560742502,0.6364372469635627,0.017781019262618755,0.8386577825503638,0.0016651753372493034,0.6823511598345168,0.00372712517503497,0.0,0.0,0.8831460674157304,0.024673661561049585,0.0008288639687957094,0.0010263099972172723,0.432797908782959,0.03548120424718661,10
