fraction,seed,n_added_real_jamming,train_real_pool_size,train_set_size,precision,recall,f1,auroc,avg_precision,normal_fpr,real_jamming_detection_rate,synthetic_detection_rate,mean_jamming_score,mean_synthetic_score,threshold
0.0,0,0,185,22855,0.9602272727272727,0.6842105263157895,0.7990543735224587,0.8646777747729787,0.751923042384188,0.0011376564277588168,0.0,0.949438202247191,0.0005257065171335603,0.9050758490764759,0.05271606175289879
0.0,1,0,185,22855,0.9883720930232558,0.6882591093117408,0.8114558472553699,0.8757010009928998,0.7585543327559472,0.00032504469364537625,0.0,0.9550561797752809,0.0006283483088865721,0.9051230690746824,0.04828013946863772
0.0,2,0,185,22855,0.9886363636363636,0.7044534412955465,0.8226950354609929,0.8886580457444477,0.7642699362109124,0.00032504469364537625,0.0,0.9775280898876404,0.0005053512420567339,0.9113522048794136,0.028449627292657646
0.0,3,0,185,22855,1.0,0.6680161943319838,0.8009708737864077,0.8888764968341042,0.7583499771167784,0.0,0.0,0.9269662921348315,0.0003880969259899776,0.9089023319420675,0.24973336524395848
0.0,4,0,185,22855,0.9942528735632183,0.7004048582995951,0.8218527315914489,0.8863965505783362,0.761113735750358,0.00016252234682268812,0.0,0.9719101123595506,0.00036758375930391536,0.9149050397147992,0.029125919215515564
0.0,5,0,185,22855,1.0,0.680161943319838,0.8096385542168675,0.8719333776815366,0.7541435415489316,0.0,0.0,0.9438202247191011,0.00025528850958477824,0.9123324402768174,0.08679570192334118
0.0,6,0,185,22855,0.9553072625698324,0.6923076923076923,0.8028169014084507,0.8914452710931964,0.7597203580927803,0.001300178774581505,0.0,0.9606741573033708,0.00017700791014682615,0.9184827951554269,0.006707244019902244
0.0,7,0,185,22855,0.9210526315789473,0.708502024291498,0.8009153318077803,0.881065883401073,0.7586774944863979,0.0024378352023403218,0.014492753623188406,0.9775280898876404,0.00045923461789704965,0.913825265992186,0.007535448044117914
0.0,8,0,185,22855,1.0,0.6923076923076923,0.8181818181818182,0.8886271204395866,0.7595094280240087,0.0,0.0,0.9606741573033708,0.0002594608046129423,0.9068179426514539,0.06189769238367403
0.0,9,0,185,22855,0.9941176470588236,0.6842105263157895,0.8105515587529976,0.8840702438690582,0.7652119308611562,0.00016252234682268812,0.0,0.949438202247191,0.00011774704228291421,0.9169735704907861,0.015663578659776255
0.01,0,2,185,22857,0.9156118143459916,0.8785425101214575,0.8966942148760331,0.9928740201777745,0.9470492150958937,0.0032504469364537623,0.6376811594202898,0.9719101123595506,0.03804681029879862,0.9086425777682168,0.007969374506207959
0.01,1,2,185,22857,0.9884393063583815,0.6923076923076923,0.8142857142857143,0.9783990035471983,0.8331943204130238,0.00032504469364537625,0.028985507246376812,0.949438202247191,0.004621599602608614,0.9041640832966478,0.04030134947279581
0.01,2,2,185,22857,0.9457013574660633,0.8461538461538461,0.8931623931623932,0.9956895388905448,0.9516344199692385,0.0019502681618722574,0.5072463768115942,0.9775280898876404,0.0197762270160371,0.9125715948622319,0.013751461394452266
0.01,3,2,185,22857,0.9282051282051282,0.7327935222672065,0.8190045248868778,0.9774751923126271,0.8419786770201398,0.0022753128555176336,0.10144927536231885,0.9775280898876404,0.007041242591985507,0.9214733153028358,0.0038427887203600747
0.01,4,2,185,22857,0.9390862944162437,0.7489878542510121,0.8333333333333334,0.9899176926301051,0.8942143456006932,0.0019502681618722574,0.17391304347826086,0.9719101123595506,0.011583046798203845,0.9054826429177244,0.006606251764672973
0.01,5,2,185,22857,0.8571428571428571,0.8502024291497976,0.8536585365853658,0.9888076715811582,0.9279853558319135,0.005688282138794084,0.5217391304347826,0.9775280898876404,0.02891926520643393,0.9168662730023625,0.00187795681399696
0.01,6,2,185,22857,0.917098445595855,0.7165991902834008,0.8045454545454546,0.9801874073474577,0.847052808140322,0.00260035754916301,0.057971014492753624,0.9719101123595506,0.0016069704917801087,0.9169927822952698,0.007327187797937508
0.01,7,2,185,22857,0.9672131147540983,0.7165991902834008,0.8232558139534883,0.9005346787814903,0.7759020053414926,0.0009751340809361287,0.07246376811594203,0.9662921348314607,0.005771592910919935,0.9043019161526011,0.02340404820379105
0.01,8,2,185,22857,0.9837837837837838,0.7368421052631579,0.8425925925925926,0.9917416276316942,0.9064115918597824,0.00048756704046806434,0.14492753623188406,0.9662921348314607,0.012650817255904296,0.9052229493003723,0.031924823247143914
0.01,9,2,185,22857,0.8523206751054853,0.8178137651821862,0.8347107438016529,0.991896254155999,0.9308590747804337,0.005688282138794084,0.4057971014492754,0.9775280898876404,0.003138343721046278,0.9127105587672601,0.0019846683548984225
0.02,0,4,185,22859,0.9814814814814815,0.8582995951417004,0.9157667386609071,0.9961113074100321,0.9666303980524257,0.0006500893872907525,0.5652173913043478,0.9719101123595506,0.043438444720307556,0.9179425333956398,0.027051517405524635
