subset,feature_set,n_features,model,accuracy_mean,accuracy_std,auroc_mean,auroc_std,macro_f1_mean,macro_f1_std,bal_acc_mean,bal_acc_std
zone_a_only,all_engineered,240,hgb,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
zone_a_only,all_engineered,240,logreg,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
zone_a_only,all_engineered,240,rf,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
zone_a_only,kpi_means,16,hgb,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
zone_a_only,kpi_means,16,logreg,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
zone_a_only,kpi_means,16,rf,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0
zone_a_only,phy_only,30,hgb,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
zone_a_only,phy_only,30,logreg,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
zone_a_only,phy_only,30,rf,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,0.0
zone_a_only,rsrp_only,15,hgb,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
zone_a_only,rsrp_only,15,logreg,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
zone_a_only,rsrp_only,15,rf,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
zone_a_only,exclude_rsrp,225,hgb,0.9915254237288135,0.009283433178053678,0.9997119815668203,0.0005760368663594306,0.9915072435699244,0.009300133056657266,0.9915898617511522,0.009154093989503918
zone_a_only,exclude_rsrp,225,logreg,0.9932203389830508,0.006341792180972765,0.9998271889400921,0.00034562211981565834,0.9932103420082052,0.0063496757464851054,0.9935483870967742,0.006034931268990223
zone_a_only,exclude_rsrp,225,rf,0.9966101694915255,0.004151677530140969,0.9998559907834101,0.0002880184331797153,0.9966011352168055,0.004162744802033417,0.9966013824884794,0.004171397924016504
