channel,ks_stat,ks_pvalue,cohens_d,abs_d,wasserstein_norm,mean_RF,mean_NonRF,ks_significant_bh
gnb_du_layer2_rlcTimer_DU1_range,0.9045643153526971,5.253406377943674e-137,4.86673435473878,4.86673435473878,1.9196906441652797,0.2933091286307054,0.0,True
gnb_du_layer2_rlcTimer_DU1_std,0.9045643153526971,5.253406377943674e-137,4.86673435473878,4.86673435473878,1.9196906441652797,0.2933091286307054,0.0,True
gnb_du_layer2_rlcTimer_DU1_var,0.9045643153526971,5.253406377943674e-137,4.86673435473878,4.86673435473878,1.9196906441652797,0.2933091286307054,0.0,True
gnb_du_layer2_rlcTimer_DU1_total_runtime,0.9045643153526971,5.253406377943674e-137,4.86673435473878,4.86673435473878,1.9196906441652797,0.2933091286307054,0.0,True
gnb_du_layer2_rlcTimer_DU1_kurtosis,0.9045643153526971,5.253406377943674e-137,4.86673435473878,4.86673435473878,1.9196906441652797,0.2933091286307054,0.0,True
gnb_du_layer2_rlcTimer_DU1_max,0.9045643153526971,5.253406377943674e-137,4.86673435473878,4.86673435473878,1.9196906441652797,0.2933091286307054,0.0,True
gnb_du_layer2_rlcTimer_DU1_mean,0.9045643153526971,5.253406377943674e-137,4.86673435473878,4.86673435473878,1.9196906441652797,0.2933091286307054,0.0,True
gnb_du_layer2_rlcTimer_DU1_total_events,0.9045643153526971,5.253406377943674e-137,4.86673435473878,4.86673435473878,1.9196906441652797,0.2933091286307054,0.0,True
gnb_du_layer2_rlcTimer_DU1_skewness,0.9045643153526971,5.253406377943674e-137,4.86673435473878,4.86673435473878,1.9196906441652797,0.2933091286307054,0.0,True
gnb_cu_pdcp_0_0_f1_worker_0_range,0.9174311926605505,1.82028507199125e-142,-3.9585165922158456,3.9585165922158456,1.8477781386623897,0.0,0.28723480504587157,True
gnb_cu_pdcp_0_0_f1_worker_0_kurtosis,0.9174311926605505,1.82028507199125e-142,-3.9585165922158456,3.9585165922158456,1.8477781386623897,0.0,0.28723480504587157,True
gnb_cu_pdcp_0_0_f1_worker_0_skewness,0.9174311926605505,1.82028507199125e-142,-3.9585165922158456,3.9585165922158456,1.8477781386623897,0.0,0.28723480504587157,True
gnb_cu_pdcp_0_0_f1_worker_0_std,0.9174311926605505,1.82028507199125e-142,-3.9585165922158456,3.9585165922158456,1.8477781386623897,0.0,0.28723480504587157,True
gnb_cu_pdcp_0_0_f1_worker_0_max,0.9174311926605505,1.82028507199125e-142,-3.9585165922158456,3.9585165922158456,1.8477781386623897,0.0,0.28723480504587157,True
gnb_cu_pdcp_0_0_f1_worker_0_total_runtime,0.9174311926605505,1.82028507199125e-142,-3.9585165922158456,3.9585165922158456,1.8477781386623897,0.0,0.28723480504587157,True
gnb_cu_pdcp_0_0_f1_worker_0_var,0.9174311926605505,1.82028507199125e-142,-3.9585165922158456,3.9585165922158456,1.8477781386623897,0.0,0.28723480504587157,True
gnb_cu_pdcp_0_0_f1_worker_0_mean,0.9174311926605505,1.82028507199125e-142,-3.9585165922158456,3.9585165922158456,1.8477781386623897,0.0,0.28723480504587157,True
gnb_cu_pdcp_0_0_f1_worker_0_total_events,0.9174311926605505,1.82028507199125e-142,-3.9585165922158456,3.9585165922158456,1.8477781386623897,0.0,0.28723480504587157,True
l1app_main_ebbupool_act_1_total_runtime,0.8632799116829724,4.419642357022155e-121,-3.1158191710942136,3.1158191710942136,1.7356326793104386,0.06758682434814228,0.1457847207015671,True
l1app_main_ebbupool_act_1_total_events,0.8632799116829724,4.419642357022155e-121,-3.0500072656362964,3.0500072656362964,1.7240385172445172,0.06744537368432243,0.14464362079721935,True
gnb_cu_pdcp_0_0_f1_worker_0_outliers,0.9013761467889908,1.1324237717569855e-135,-2.8667928073583457,2.8667928073583457,1.6889190366222921,0.0,0.23086295871559634,True
l1app_main_ebbupool_act_1_outliers,0.8632799116829724,4.419642357022155e-121,-2.827365856601238,2.827365856601238,1.6807715018062195,0.045260738160198405,0.1066750545960364,True
gnb_cu_pdcp_0_0_recv_data_0_total_runtime,0.8839030796756633,9.38505023216685e-129,2.6635064086192433,2.6635064086192433,1.644431318609589,0.1561248777009145,0.09881034555605724,True
gnb_cu_pdcp_0_0_recv_data_0_total_events,0.8793159237123606,5.27907952886274e-127,2.6297355804397475,2.6297355804397475,1.6364130862118171,0.15518431722561354,0.09860877881740826,True
